condition,primary_symptoms,secondary_symptoms,department,severity,description,common_age_group,prevalence
"Hearing Loss","difficulty hearing,muffled sounds,ringing in ears","difficulty understanding speech,social withdrawal","ENT","GP","Reduced ability to hear sounds","Adults 60+","Very Common"
"Tonsillitis","sore throat,swollen tonsils,difficulty swallowing","fever,white patches on tonsils,bad breath","ENT","GP","Inflammation of tonsils","Children/Young Adults","Common"
"Sinusitis","facial pain,nasal congestion,headache","thick nasal discharge,reduced smell,fever","ENT","GP","Inflammation of sinuses","Adults","Common"
"Vertigo","spinning sensation,dizziness,loss of balance","nausea,vomiting,difficulty standing","ENT","GP","Balance disorder causing spinning sensation","Adults","Common"
"Sleep Apnea","loud snoring,gasping during sleep,daytime fatigue","morning headaches,difficulty concentrating,irritability","Pulmonology","GP","Breathing repeatedly stops during sleep","Adults 40+","Common"
"Insomnia","difficulty falling asleep,waking frequently,early waking","daytime fatigue,irritability,difficulty concentrating","Psychiatry","GP","Chronic sleep disorder","Adults","Very Common"
"Pregnancy Complications","nausea,vomiting,swelling","high blood pressure,bleeding,severe headache","Obstetrics","urgent","Various complications during pregnancy","Pregnant women","Varies"
"Menopause Symptoms","hot flashes,night sweats,mood changes","irregular periods,vaginal dryness,sleep problems","Gynecology","GP","Natural decline in reproductive hormones","Women 45-55","Universal"
"Endometriosis","pelvic pain,painful periods,pain during intercourse","heavy bleeding,fatigue,digestive problems","Gynecology","GP","Tissue similar to uterine lining grows outside uterus","Women 20-40","Common"
"Fibroids","heavy periods,pelvic pain,frequent urination","constipation,backache,leg pains","Gynecology","GP","Non-cancerous uterine growths","Women 30-50","Common"
"Cellulitis","red swollen skin,pain,warmth","fever,chills,swollen lymph nodes","Dermatology","urgent","Bacterial skin infection","Adults","Common"
"Sepsis","high fever,rapid heartbeat,rapid breathing","confusion,extreme pain,clammy skin","Emergency Medicine","emergency","Life-threatening body response to infection","All ages","Critical"
"Meningitis","severe headache,stiff neck,fever","confusion,sensitivity to light,vomiting","Neurology","emergency","Inflammation of brain and spinal cord membranes","All ages","Critical"
"Food Poisoning","nausea,vomiting,diarrhea","abdominal cramps,fever,weakness","Gastroenterology","GP","Illness from contaminated food","All ages","Common"
"Dehydration","excessive thirst,dry mouth,dark urine","dizziness,fatigue,confusion","General Medicine","urgent","Severe water loss from body","All ages","Common"
"Heat Stroke","high body temperature,altered mental state,rapid breathing","nausea,seizures,loss of consciousness","Emergency Medicine","emergency","Body overheating from prolonged heat exposure","All ages","Critical"
"Hypothermia","shivering,confusion,drowsiness","slow breathing,weak pulse,loss of coordination","Emergency Medicine","emergency","Dangerously low body temperature","All ages","Critical"
"Burns","pain,redness,blisters","swelling,peeling skin,shock","Emergency Medicine","urgent","Tissue damage from heat, chemicals, or electricity","All ages","Common"
"Poisoning","nausea,vomiting,confusion","difficulty breathing,seizures,unconsciousness","Emergency Medicine","emergency","Harmful substance ingestion or exposure","All ages","Moderate"
"Allergic Reaction","hives,itching,swelling","difficulty breathing,rapid pulse,dizziness","Allergy/Immunology","urgent","Immune system response to allergen","All ages","Common"
"Anaphylaxis","severe allergic reaction,difficulty breathing,rapid pulse","swelling of throat,dizziness,loss of consciousness","Emergency Medicine","emergency","Severe life-threatening allergic reaction","All ages","Critical"
